Pred,Team,Combined
0.707251668,NY Jets,0.465268989
0.609057367,LA Chargers,0.416171839
0.581713378,Carolina,0.402499845
0.575931966,Miami,0.399609139
0.49389261,Philadelphia,0.35858946
0.402572215,Washington,0.312929263
0.393005133,Chicago,0.308145722
0.373112321,Denver,0.298199316
0.32833451,Cleveland,0.275810411
0.315788001,Jacksonville,0.269537156
0.292239159,Green Bay,0.257762735
0.284308046,Seattle,0.253797178
0.26910156,Kansas City,0.246193935
0.209654257,Minnesota,0.216470284
0.199515596,Tampa Bay,0.211400953
0.19809328,Baltimore,0.210689796
0.192163199,Houston,0.207724755
0.165444672,Detroit,0.194365491
0.164896801,Pittsburgh,0.194091556
0.163890839,Oakland,0.193588575
0.158519164,San Francisco,0.190902737
0.142471969,LA Rams,0.18287914
0.141135231,NY Giants,0.182210771
0.131369293,New Orleans,0.177327802
0.129730418,Dallas,0.176508365
0.113921233,Arizona,0.168603772
0.108869798,Tennessee,0.166078055
0.107335359,Indianapolis,0.165310835
0.104055054,Atlanta,0.163670683
0.099044003,New England,0.161165157
0.098048851,Cincinnati,0.160667581
0.078176118,Buffalo,0.150731215
